path,status,duration_seconds,sample_rate_hz,channels,mean_volume_db,max_volume_db,warnings,sha256
outputs/qwen3-tts/soft_healer/raw/voice-master.wav,PASS,9.76,24000,1,-21.0,-7.3,contains_silence_over_0.8s,1610cf180e0bd245d7a50381a403c529e43b8fd65e7bbc20433edbc5062c0c13
outputs/qwen3-tts/soft_healer/ready/mixed_language.wav,PASS,7.848333,24000,1,-21.5,-9.2,,8403b23f786bc3c54cd2f1f1cb5fa1d8a8bbf88cab78ff8c6a31f9b29bc930c6
outputs/qwen3-tts/soft_healer/ready/showcase.wav,PASS,9.4805,24000,1,-22.4,-9.3,,b6b63f0b270f738b6fb61ffde784fdeb398459931d7fa3172e70d0395c1b8b18
outputs/qwen3-tts/soft_healer/ready/voice-master.wav,PASS,9.76,24000,1,-21.0,-7.3,contains_silence_over_0.8s,1610cf180e0bd245d7a50381a403c529e43b8fd65e7bbc20433edbc5062c0c13
outputs/qwen3-tts/tsundere_comic/raw/mixed_language.wav,PASS,7.360875,24000,1,-20.4,-5.8,,fc9e6370660850ac4521ee526a617642729fbf2cf5d59e2a5af73dffdd51cb06
outputs/qwen3-tts/tsundere_comic/raw/showcase.wav,PASS,8.836917,24000,1,-21.4,-6.4,,915cc7641fe26a6beecabff134623ad6f508738b8e0f531236c1bec9a8858078
outputs/qwen3-tts/tsundere_comic/raw/voice-master.wav,PASS,7.6,24000,1,-19.9,-5.7,,69eb40e4e2e2603647510508180b33e3da288a12718577cbd39d4e896c995966
outputs/qwen3-tts/tsundere_comic/ready/mixed_language.wav,PASS,6.880875,24000,1,-20.1,-5.8,,780cffbf6e904278245b22a86836c600a78e2846100e877f811c3c95f9b7ef42
outputs/qwen3-tts/tsundere_comic/ready/showcase.wav,PASS,8.396917,24000,1,-21.2,-6.4,,fc8b6c441145998a240415ab83bb0d8ea35d8de4d525a7a2e370cc3632ec9020
outputs/qwen3-tts/tsundere_comic/ready/voice-master.wav,PASS,7.6,24000,1,-19.9,-5.7,,69eb40e4e2e2603647510508180b33e3da288a12718577cbd39d4e896c995966
